x,y,z
1,1,15
1,2,15
0,2,15
0,1,15
0,1,14
6,1,14
6,1,13
6,2,13
1,6,15
1,0,15
1,0,14
0,0,14
0,0,15
0,0,16
6,0,16
6,1,16
6,2,16
6,2,17
6,3,17
6,3,16
6,4,16
5,4,16
4,4,16
5,4,16
5,3,16
5,4,16
5,4,15
5,4,14
3,0,0
2,0,0
3,0,0
3,1,0
3,0,0
3,0,19
3,0,18
4,0,18
4,1,18
3,1,18
2,1,18
2,1,19
1,1,19
1,1,0
2,1,0
1,1,0
1,2,0
2,2,0
1,2,0
1,2,1
1,2,15
1,3,15
2,3,15
2,3,16
2,3,15
3,3,15
3,2,15
3,2,14
4,2,14
4,1,14
4,1,15
5,1,15
5,2,15
5,2,14
5,2,13
6,2,13
6,2,12
6,1,12
6,2,12
6,2,13
5,0,19
4,0,19
4,1,19
4,2,19
3,2,19
3,2,18
4,2,18
4,1,18
5,1,18
4,1,18
5,1,18
4,1,18
4,2,18
3,2,18
3,2,17
4,2,17
4,3,17
4,2,17
4,3,17
5,3,17
1,0,4
1,0,5
1,1,5
1,2,5
1,3,5
1,4,5
1,4,4
1,4,5
2,4,5
2,4,4
2,5,4
2,4,4
1,4,4
1,5,4
1,6,4
1,6,3
1,0,3
1,0,4
1,0,3
1,0,2
0,4,18
0,5,18
1,5,18
1,4,18
1,3,18
1,4,18
2,4,18
3,4,18
3,4,17
3,4,18
3,5,18
2,5,18
3,5,18
4,5,18
5,5,18
4,5,18
4,4,18
4,4,17
4,3,17
4,3,16
5,4,8
4,4,8
3,4,8
3,5,8
3,5,7
3,5,8
4,5,8
5,5,8
5,5,7
5,4,7
6,4,7
0,4,7
0,4,8
0,4,7
0,5,7
0,5,8
0,5,9
0,5,8
1,5,8
2,5,8
6,1,17
6,1,16
6,0,16
0,0,16
0,0,15
1,0,15
1,1,15
1,0,15
1,0,14
1,1,14
1,0,14
0,0,14
1,0,14
1,1,14
1,2,14
0,2,14
0,2,15
0,2,16
0,2,15
0,2,14
0,5,15
6,5,15
6,4,15
6,4,14
6,4,13
6,4,14
0,4,14
0,4,13
0,4,14
1,4,14
1,3,14
1,3,13
1,3,14
1,2,14
0,2,14
6,2,14
0,2,14
6,2,14
6,2,13
6,2,12
