c,x,y,z
0,1.69246,3.02072,18.59934
1,7.43194,4.59479,16.14943
2,5.09156,1.28962,12.09697
3,3.71038,2.11805,16.03829
4,1.33161,1.49013,14.78992
5,6.66873,3.08858,2.19849
6,0.14426,7.45136,2.55075
7,2.39801,5.01818,12.29672
8,5.0157,4.80288,7.2455
9,5.39399,0.86443,15.5
10,1.57663,6.60187,3.92515
11,2.72004,2.54833,7.79679
12,1.60482,2.76972,12.39972
13,2.60941,0.8476,15.84646
14,3.65566,0.36084,15.51961
15,6.24761,3.26146,13.69849
16,3.36462,2.1884,12.15757
17,7.32258,3.03085,8.91092
18,0.13848,4.22429,17.85223
19,4.67079,0.6884,16.04438
20,2.80522,2.60199,5.84308
21,1.7773,6.96747,11.14917
22,2.26146,0.45605,16.54419
23,0.40721,1.28962,12.01789
24,1.1585,0.54727,0.15816
25,1.45407,1.35565,0.3797
26,3.84513,5.6183,0.11229
27,6.9124,4.36469,2.28764
28,2.34455,3.03677,19.49401
29,0.39132,3.75199,3.00224
30,7.48287,6.87902,2.20654
31,1.59479,7.25,10.90113
32,6.52764,4.83211,3.55324
33,3.19907,4.72071,18.82343
34,4.49663,3.45167,2.15542
35,1.90844,0.67865,3.54248
