c,x,y,z
0,2.87792,4.6155,16.13393
1,6.43119,5.0694,15.14943
2,6.45273,2.94689,6.28678
3,4.17615,5.5,14.30828
4,4.70031,1.98075,2.34856
5,2.69975,5.51937,6.44997
6,4.48779,5.86727,2.92305
7,2.22775,3.45167,10.44064
8,3.52768,1.18301,12.50472
9,6.26168,6.55064,17.74852
10,1.3101,1.99073,4.89924
11,3.38735,6.37878,20.02133
12,3.57377,7.33684,7.10076
13,3.48115,7.41396,5.79954
14,1.94689,2.13538,9.25506
15,3.26146,1.06792,6.24907
16,3.21038,4.5,1.60124
17,6.16666,6.11002,3.85252
18,1.59382,6.0,15.79771
19,5.82385,4.77441,10.74852
20,4.22258,7.10081,15.81906
21,6.14225,2.40438,19.86998
22,4.60329,2.70251,1.59218
23,5.92819,1.03364,13.25513
24,5.85403,0.05728,18.52302
25,6.63465,4.19978,14.20037
26,3.60601,1.40359,12.49051
27,2.60199,1.50171,11.90495
28,0.85639,1.39399,17.29669
29,1.40844,5.30144,17.95081
30,6.52764,6.77433,15.5498
31,3.28524,7.00693,13.41659
32,4.66826,4.25141,14.84916
33,4.07674,3.95741,0.84892
34,2.70251,2.24504,1.44973
35,6.99383,7.21952,14.44949
