c,Rg
0,1.6763055572597734
1,2.4485375248298724
2,2.2037498792285843
3,1.7962857163602897
4,1.6167577848583257
5,2.501305770952444
6,1.278431460540611
7,1.537323183133592
8,1.8780751413348722
9,1.7753599004427245
10,1.5654088738728937
11,1.6078992888237744
12,1.689706950509466
13,2.4760103255237045
14,2.0381469301549386
15,1.3750404034063872
16,2.1889040583132013
17,1.9720503859942324
18,1.7419569847157534
19,1.0653850660676636
20,1.8556960541532657
21,2.121253052207586
22,1.9477702130898296
23,1.2710645780997911
24,2.751804380274877
25,1.7351501008270147
26,1.3221356730683882
27,1.622525371820114
28,1.9319971929586235
29,1.748780326684858
30,1.5408094549943545
31,1.9317477977210171
32,1.9193017470163467
33,2.0772719336909167
34,1.7057832619063888
35,2.9444248452456723
