c,x,y,z
0,2.35331,6.6143,20.05236
1,2.27934,2.74721,12.3034
2,4.20251,1.60291,10.90303
3,5.68518,3.94061,11.56107
4,0.28697,1.95741,10.55027
5,2.64846,4.85403,6.97777
6,2.86363,0.73873,0.77405
7,5.08461,4.15658,6.00474
8,4.02107,1.36685,1.05039
9,6.58278,1.1884,20.10824
10,2.19978,1.03677,3.23818
11,4.89756,1.76435,2.98009
12,5.32015,3.10244,0.76638
13,7.49812,7.03949,17.84308
14,2.19978,1.78551,9.44949
15,2.57066,3.70021,6.44949
16,1.34455,7.39614,0.41047
17,6.14489,0.04678,11.05299
18,6.88349,2.52127,6.1342
19,2.41906,5.15804,4.60076
20,2.23342,0.82321,3.29868
21,3.39399,0.09895,9.46565
22,6.35974,1.17554,15.99764
23,0.70526,2.64435,16.44878
24,5.78962,4.80446,6.75562
25,3.39984,2.85741,4.69266
26,3.69875,3.3048,14.054
27,7.38253,0.63853,8.6655
28,1.60786,2.72717,2.19705
29,6.78953,4.37705,10.12929
30,5.90387,3.55646,10.80295
31,1.6952,4.63531,15.10365
32,2.76658,6.87512,15.96508
33,1.88328,5.5,2.85083
34,2.75835,3.17767,0.59935
35,3.52153,6.50678,8.4953
