c,Rg
0,1.8292998237030476
1,1.8913271825361153
2,1.6412976352264685
3,1.5573374799316944
4,1.848074040670449
5,1.227562632007019
6,1.1508732544029339
7,2.309038185240772
8,1.681193768635847
9,1.6016466161422744
10,1.3101137281930908
11,1.8625686274067863
12,1.1633132821815453
13,1.801234354158281
14,2.3454044915323244
15,1.3682315069095583
16,1.507342628734423
17,1.4568787277601385
18,1.8459187878939853
19,1.745632153175462
20,2.2356287600807065
21,2.0085850737521675
22,0.9618080381240324
23,2.524547932145476
24,1.997725973701098
25,1.9963769431147016
26,1.5387950572119733
27,1.5057198847727287
28,1.8946639608648281
29,1.7755206576945255
30,1.8476931621890038
31,2.3300058033618716
32,2.0714676650626243
33,1.92478423323239
34,0.8916466412766888
35,1.7150674715882173
