c,Rg
0,1.7364965634863776
1,1.7820886826979179
2,1.7805683058226098
3,1.9155751785821407
4,1.562068762923067
5,1.743772372874396
6,2.2306308246099356
7,2.536788840463471
8,1.7903176341085403
9,1.9610642849483544
10,1.3024590092974138
11,2.158496463467105
12,2.4884466011952115
13,2.4793363585846917
14,1.5178701823607974
15,1.4124256058284979
16,2.0074645831246936
17,1.8942877754449032
18,1.6269733233830235
19,1.8886399617184844
20,2.0257051913839783
21,1.8953265569289106
22,1.5500725387542353
23,2.6303531028552043
24,2.217179581653232
25,1.3520020753312474
26,1.3014551302676556
27,2.566676804313313
28,1.617271247193865
29,1.9587018090817196
30,1.9185967418402443
31,2.0503482436649634
32,1.7225482028959307
33,1.6960462244290397
34,2.5281594742025275
35,2.560272547269138
