x,y,z
4,3,14
4,3,13
4,3,14
5,3,14
5,3,13
5,2,13
4,2,13
4,2,14
4,0,0
4,0,19
5,0,19
4,0,19
4,0,0
4,1,0
4,0,0
3,0,0
3,1,0
4,1,0
3,1,0
2,1,0
3,1,0
3,1,1
3,1,2
4,1,2
5,1,2
5,0,2
4,0,2
4,0,1
6,6,15
6,5,15
6,5,14
5,5,14
5,5,13
6,5,13
0,5,13
0,6,13
0,6,14
6,6,14
5,6,14
5,6,15
5,5,15
5,6,15
5,6,14
5,0,14
5,6,14
5,0,14
5,6,14
6,6,14
5,2,5
4,2,5
3,2,5
3,1,5
3,1,4
3,2,4
4,2,4
3,2,4
3,2,3
3,1,3
4,1,3
5,1,3
4,1,3
4,0,3
4,6,3
5,6,3
5,0,3
6,0,3
0,0,3
0,0,2
2,2,15
3,2,15
3,2,14
2,2,14
2,2,13
2,2,14
2,2,15
3,2,15
4,2,15
4,1,15
4,1,14
3,1,14
2,1,14
2,0,14
2,1,14
2,2,14
2,1,14
1,1,14
2,1,14
2,1,13
4,4,11
4,3,11
5,3,11
5,3,10
5,3,11
6,3,11
6,2,11
6,2,10
6,1,10
6,2,10
5,2,10
5,1,10
5,2,10
5,2,11
6,2,11
6,2,12
6,2,11
6,2,12
6,2,11
6,2,10
4,3,14
3,3,14
2,3,14
2,2,14
3,2,14
3,2,13
4,2,13
4,2,12
5,2,12
6,2,12
0,2,12
6,2,12
6,2,13
0,2,13
1,2,13
2,2,13
2,2,12
1,2,12
1,3,12
1,4,12
6,5,13
6,6,13
6,5,13
6,5,14
0,5,14
1,5,14
1,6,14
0,6,14
0,5,14
0,4,14
0,4,13
6,4,13
6,3,13
0,3,13
0,3,12
0,3,13
1,3,13
2,3,13
1,3,13
1,3,14
3,0,2
3,1,2
4,1,2
3,1,2
2,1,2
2,1,3
3,1,3
3,1,2
3,2,2
3,2,3
2,2,3
2,3,3
2,4,3
2,4,4
3,4,4
4,4,4
4,3,4
4,2,4
4,2,5
4,3,5
2,0,19
1,0,19
2,0,19
2,0,18
1,0,18
1,6,18
1,6,19
1,0,19
1,6,19
1,5,19
1,6,19
1,0,19
1,1,19
1,2,19
0,2,19
0,1,19
0,1,0
0,2,0
0,1,0
0,2,0
