x,y,z
3,4,4
2,4,4
2,4,3
2,3,3
2,2,3
2,3,3
2,4,3
1,4,3
1,4,2
1,3,2
1,3,1
1,2,1
1,2,2
1,1,2
2,1,2
1,1,2
0,1,2
6,1,2
0,1,2
0,0,2
1,0,2
1,0,1
1,0,2
1,6,2
1,5,2
1,6,2
1,5,2
1,5,1
0,5,1
6,5,1
5,5,1
6,5,1
6,5,0
5,5,0
4,5,0
4,6,0
4,0,0
4,0,1
4,1,1
5,1,1
1,4,9
0,4,9
6,4,9
5,4,9
4,4,9
4,5,9
5,5,9
5,4,9
4,4,9
4,4,8
4,4,9
5,4,9
5,4,10
4,4,10
5,4,10
5,5,10
5,5,9
5,6,9
5,6,8
4,6,8
4,3,16
4,2,16
4,3,16
5,3,16
5,3,15
5,3,14
5,3,13
5,3,14
5,3,15
4,3,15
4,3,16
5,3,16
5,3,17
5,2,17
5,3,17
5,3,16
6,3,16
6,3,15
0,3,15
0,4,15
6,4,0
6,4,1
6,5,1
5,5,1
6,5,1
5,5,1
4,5,1
4,5,0
4,4,0
3,4,0
3,4,19
3,4,18
2,4,18
3,4,18
3,4,17
3,4,16
2,4,16
3,4,16
3,5,16
4,5,16
4,6,0
4,0,0
3,0,0
2,0,0
2,0,19
2,0,18
2,0,17
3,0,17
2,0,17
2,6,17
2,5,17
2,5,18
2,4,18
3,4,18
4,4,18
5,4,18
5,4,19
5,4,18
5,4,17
4,4,17
6,6,1
6,6,0
6,6,19
6,6,18
5,6,18
4,6,18
4,5,18
5,5,18
5,4,18
5,4,17
5,3,17
5,4,17
5,5,17
6,5,17
6,4,17
6,5,17
5,5,17
5,5,16
6,5,16
6,5,15
6,0,16
6,0,17
0,0,17
0,0,16
6,0,16
6,6,16
6,6,15
6,5,15
5,5,15
5,5,14
5,5,15
6,5,15
6,4,15
6,3,15
5,3,15
5,2,15
5,2,14
5,2,13
5,2,14
4,2,14
4,3,18
5,3,18
6,3,18
6,2,18
6,3,18
6,3,17
6,2,17
6,2,18
6,2,19
6,2,18
6,3,18
5,3,18
5,2,18
5,3,18
5,3,17
4,3,17
3,3,17
3,4,17
2,4,17
2,4,16
6,3,3
6,4,3
6,4,2
5,4,2
5,3,2
6,3,2
0,3,2
1,3,2
1,3,1
1,3,0
1,2,0
1,1,0
1,2,0
2,2,0
2,2,1
1,2,1
1,3,1
2,3,1
1,3,1
1,4,1
0,1,15
1,1,15
1,2,15
0,2,15
0,2,14
0,3,14
6,3,14
6,3,13
6,4,13
6,5,13
6,6,13
6,5,13
6,4,13
5,4,13
6,4,13
6,4,12
6,4,13
6,5,13
6,5,12
5,5,12
2,1,9
1,1,9
1,1,10
1,1,9
2,1,9
2,1,8
2,1,7
2,1,6
3,1,6
3,2,6
3,2,5
3,1,5
3,1,6
3,2,6
4,2,6
5,2,6
5,1,6
6,1,6
0,1,6
0,1,7
6,3,5
6,4,5
6,4,4
0,4,4
0,3,4
1,3,4
0,3,4
6,3,4
6,3,3
6,3,2
0,3,2
6,3,2
0,3,2
6,3,2
6,4,2
0,4,2
0,4,3
0,3,3
0,3,4
0,3,5
2,1,5
1,1,5
1,2,5
2,2,5
2,2,6
2,1,6
2,1,5
2,1,6
3,1,6
3,0,6
3,6,6
3,5,6
2,5,6
2,4,6
2,3,6
2,4,6
3,4,6
3,3,6
3,3,7
4,3,7
0,6,18
0,5,18
0,4,18
6,4,18
6,3,18
6,4,18
6,5,18
6,4,18
6,4,17
0,4,17
0,4,18
0,5,18
0,5,17
1,5,17
1,5,18
1,5,19
0,5,19
0,5,0
0,4,0
0,4,19
4,4,14
4,4,15
4,3,15
4,3,14
4,4,14
4,3,14
4,4,14
4,4,15
4,4,16
3,4,16
4,4,16
4,3,16
4,4,16
4,5,16
4,5,15
4,4,15
5,4,15
5,3,15
5,3,14
4,3,14
1,0,2
0,0,2
0,0,3
0,0,4
0,6,4
6,6,4
6,5,4
6,4,4
6,3,4
6,3,5
6,3,4
6,4,4
6,3,4
6,4,4
6,4,5
6,4,6
0,4,6
0,4,7
0,4,6
0,5,6
4,1,2
4,1,3
5,1,3
5,1,2
6,1,2
6,0,2
6,0,1
6,1,1
6,2,1
6,3,1
6,3,0
5,3,0
6,3,0
6,2,0
5,2,0
5,2,19
4,2,19
4,1,19
5,1,19
5,2,19
2,4,15
2,5,15
2,5,14
2,6,14
2,5,14
2,6,14
1,6,14
1,6,13
1,6,12
1,0,12
2,0,12
3,0,12
3,0,13
3,1,13
3,2,13
3,2,14
3,1,14
3,1,15
3,1,14
3,1,15
5,0,13
5,0,14
4,0,14
3,0,14
2,0,14
1,0,14
1,0,13
1,0,12
1,0,11
2,0,11
2,0,12
2,0,13
1,0,13
1,0,14
1,0,15
1,6,15
1,6,14
1,6,15
1,6,14
1,5,14
4,1,4
4,2,4
4,3,4
4,3,5
4,3,6
4,4,6
5,4,6
5,4,7
5,5,7
5,5,6
5,6,6
5,5,6
5,5,7
5,4,7
4,4,7
3,4,7
3,3,7
2,3,7
3,3,7
3,3,8
1,2,6
1,2,5
1,1,5
1,2,5
1,2,6
0,2,6
0,1,6
0,0,6
1,0,6
1,0,7
1,0,6
0,0,6
0,0,5
0,6,5
0,6,4
0,0,4
6,0,4
6,6,4
6,6,5
6,5,5
4,0,19
4,0,18
4,6,18
4,0,18
4,1,18
3,1,18
3,1,17
4,1,17
5,1,17
4,1,17
4,1,18
4,0,18
3,0,18
3,6,18
3,6,19
3,6,0
4,6,0
4,6,19
4,0,19
5,0,19
5,4,13
4,4,13
4,5,13
4,6,13
5,6,13
5,6,12
5,6,11
5,5,11
5,5,12
4,5,12
4,5,13
3,5,13
3,5,12
2,5,12
3,5,12
2,5,12
2,4,12
2,3,12
3,3,12
3,3,11
4,4,10
4,5,10
4,6,10
4,6,9
4,6,8
3,6,8
3,6,9
4,6,9
4,0,9
5,0,9
5,6,9
5,0,9
4,0,9
4,0,10
4,6,10
4,6,9
4,6,8
4,5,8
4,5,9
4,5,8
6,4,11
6,4,12
5,4,12
4,4,12
4,5,12
3,5,12
3,6,12
3,6,13
3,0,13
4,0,13
4,1,13
4,1,12
5,1,12
5,2,12
5,3,12
5,3,11
6,3,11
6,3,10
6,3,9
5,3,9
3,2,1
2,2,1
2,2,0
2,1,0
2,1,1
2,1,2
2,2,2
2,3,2
2,3,1
3,3,1
4,3,1
3,3,1
3,2,1
2,2,1
2,2,2
1,2,2
2,2,2
1,2,2
1,2,1
0,2,1
4,5,18
4,4,18
4,3,18
5,3,18
5,3,17
6,3,17
6,3,18
5,3,18
4,3,18
4,2,18
4,3,18
4,2,18
4,2,17
5,2,17
5,2,18
5,1,18
6,1,18
5,1,18
5,0,18
6,0,18
6,5,2
6,6,2
6,6,1
0,6,1
0,0,1
1,0,1
2,0,1
2,0,2
3,0,2
3,1,2
4,1,2
4,1,1
4,1,0
4,1,19
4,1,0
4,1,19
4,1,0
3,1,0
4,1,0
4,2,0
5,4,12
5,4,13
5,4,12
5,5,12
5,6,12
6,6,12
0,6,12
0,5,12
0,4,12
0,3,12
6,3,12
0,3,12
6,3,12
6,3,11
6,4,11
6,5,11
