c,Rg
0,1.9952395428368996
1,2.045738422110706
2,1.4199135770884088
3,1.9337844863634626
4,2.1357005311606776
5,1.6440578055834898
6,2.673528046084425
7,2.3717090412611745
8,1.8551918402418655
9,2.3559510319614025
10,1.8960985655814415
11,2.8134794856902725
12,3.8160821167789356
13,2.7432785572194454
14,2.5664227349561877
15,2.2368158510927985
16,2.5639022626652523
17,2.461761799037429
18,1.8562146721217347
19,2.137969199123318
20,2.1750172219318173
21,2.6291954421267354
22,1.6163878704382806
23,1.7597754922716706
24,2.054354788272951
25,2.4206984250418304
26,2.1422236989632992
27,2.1314078266957734
28,1.9814090144642018
29,2.5034856598351025
30,2.313976930848707
31,1.9304153801708066
32,2.5926771992864825
33,1.6950767299446947
34,2.483451448287242
35,2.2363411582314536
