c,x,y,z
0,6.7894,2.65728,16.45
1,1.33834,4.21636,16.65
2,5.74128,5.5868,10.75
3,1.27022,7.1377,12.0
4,1.60501,4.31505,9.65
5,6.88782,1.76658,4.4
6,0.94122,1.2893,13.0
7,2.91942,4.61509,16.45
8,6.29807,3.70056,4.75
9,6.0315,1.15593,18.1
10,3.35264,5.48448,9.5
11,2.67259,5.38879,14.15
12,1.37918,0.98839,15.8
13,1.29087,0.09246,3.65
14,2.11941,5.02216,1.95
15,2.94659,4.67881,6.5
16,4.86287,0.21045,8.85
17,1.66166,4.57526,7.5
18,5.10601,2.50109,7.0
19,3.60601,4.82271,7.0
20,2.47052,5.35249,5.15
21,6.64085,4.72322,12.65
22,4.81939,7.10156,3.05
23,1.59625,5.27193,12.15
24,0.50112,5.31234,18.8
25,4.7668,1.5723,5.85
26,6.46254,4.22602,8.15
27,7.02671,6.87126,1.15
28,6.26127,3.7391,2.7
29,2.60601,3.39984,15.55
30,2.36696,3.24781,1.95
31,4.10244,0.02056,13.1
32,4.76927,2.11178,14.15
33,4.57336,2.3116,11.75
34,3.20236,2.62023,10.2
35,1.28862,0.27748,16.85
