c,x,y,z
0,3.297,1.69358,1.05
1,6.5794,3.92682,12.3
2,6.93992,0.12632,12.05
3,4.52467,2.4041,10.5
4,2.07606,0.18621,9.3
5,6.99383,0.88435,3.15
6,5.60982,4.22089,5.05
7,2.26223,3.261,11.0
8,1.22442,5.52027,17.05
9,3.78113,4.86747,2.95
10,0.30782,2.5,8.6
11,2.54975,3.84013,13.4
12,1.84932,1.94813,4.45
13,4.73854,5.27193,8.75
14,4.5052,1.10659,4.85
15,4.34797,5.21231,12.2
16,4.4398,0.38477,9.2
17,4.10601,2.75901,17.25
18,2.35078,4.19712,10.7
19,0.39403,1.77742,15.7
20,1.2352,5.06483,7.4
21,1.5236,4.69588,6.35
22,6.24203,2.25667,8.15
23,3.12317,5.36462,8.1
24,2.86123,0.83437,16.45
25,2.42394,1.08639,4.4
26,4.09947,0.68337,3.15
27,6.32607,3.36436,0.95
28,5.28962,1.48438,6.15
29,0.40938,4.63851,1.8
30,2.33161,7.38253,12.4
31,0.09071,5.02216,4.3
32,3.74995,4.12591,14.95
33,4.78246,6.33711,15.05
34,5.69088,5.11911,18.5
35,5.3136,0.73866,14.9
