c,Rg
0,3.7579194853668696
1,4.3041222183390655
2,3.006377829681426
3,4.149950698430043
4,2.826610983863892
5,4.3847483697129075
6,4.050571003401866
7,2.9462926136078202
8,4.897188791133133
9,4.34995823916736
10,2.487268835087997
11,3.1818280426352397
12,3.6843799915453888
13,3.8768729503299433
14,4.39205930990236
15,4.179157166522934
16,4.02937752016363
17,4.249251348096509
18,3.5998224592332333
19,3.589285662314996
20,2.806169236539379
21,3.776129644437542
22,2.873048040061286
23,4.134254757559094
24,4.020542227958812
25,3.8078879001619783
26,3.5693939905815943
27,2.4816624121745487
28,4.656165935638463
29,3.027684917589675
30,3.207026940766167
31,3.432763130846636
32,2.1090434949047405
33,3.6008435310215856
34,4.152869165023141
35,2.9707609759790508
