c,x,y,z
0,2.82938,4.06795,6.0
1,0.2647,0.27802,10.5
2,5.78957,2.13208,10.75
3,4.36149,7.12619,16.45
4,6.89603,6.2146,18.3
5,1.61036,0.90341,15.85
6,5.8195,3.61036,9.1
7,6.29853,3.87995,6.65
8,5.15521,1.13037,8.4
9,3.06858,1.59559,5.4
10,6.67153,0.12307,14.95
11,5.03947,5.6406,2.2
12,4.09595,2.50146,3.0
13,6.0983,3.09156,13.85
14,3.78962,5.95999,9.15
15,2.0413,5.81125,15.25
16,1.89399,6.03561,18.5
17,6.9235,5.90719,11.95
18,2.16884,2.06743,7.1
19,5.71887,1.78237,4.5
20,6.90197,6.75594,6.7
21,2.50591,3.92694,17.45
22,3.32169,3.3533,13.05
23,3.7005,4.73854,11.7
24,1.69064,5.77558,3.65
25,2.08404,2.83211,2.35
26,4.97431,0.24406,12.0
27,4.9734,3.50832,18.5
28,3.97712,5.02861,1.95
29,3.02107,1.44414,14.65
30,0.31414,1.66419,8.0
31,1.78276,5.10601,13.45
32,4.29749,7.05891,16.05
33,2.21038,4.79592,8.35
34,6.75775,3.13253,12.45
35,4.09826,4.5434,5.9
