c,x,y,z
0,7.47255,1.55646,3.3
1,3.45614,3.62124,16.45
2,6.77433,0.49984,14.0
3,5.13884,3.41037,12.5
4,3.39639,6.86152,5.6
5,1.28113,1.71197,6.85
6,3.79604,4.4566,8.0
7,3.55545,5.44987,16.8
8,4.55418,7.13298,12.2
9,2.60713,3.37535,2.25
10,5.613,3.77742,10.95
11,1.6497,1.47685,13.95
12,3.41353,7.20903,2.3
13,2.60601,1.89889,10.1
14,5.5,3.89689,3.6
15,5.74514,3.03754,14.55
16,3.33708,2.5668,9.75
17,4.29789,4.79095,13.2
18,0.44407,4.24372,9.15
19,0.16593,6.70424,17.65
20,5.66839,6.21467,5.55
21,4.8397,0.78396,0.85
22,1.90349,3.95026,2.0
23,0.91636,5.79689,5.65
24,5.20982,3.02243,18.25
25,4.33282,6.05593,2.75
26,4.62023,2.09835,6.3
27,1.34979,4.21038,4.1
28,1.57606,6.50441,8.35
29,2.99196,2.0,3.95
30,6.18917,0.55121,9.45
31,2.23807,5.15418,11.15
32,7.42224,3.1573,11.95
33,1.62452,3.25812,16.9
34,2.09437,4.05419,13.45
35,5.36462,0.81083,17.2
