c,x,y,z
0,2.35761,0.66873,5.8
1,6.37819,7.23462,9.55
2,6.26134,3.41095,12.5
3,3.92394,6.18107,13.6
4,2.90313,3.61509,17.05
5,5.25196,6.9586,18.5
6,4.5181,5.42447,6.1
7,4.21086,7.05587,3.0
8,5.70856,5.47847,9.6
9,2.26146,5.71602,3.95
10,0.87068,0.87366,16.95
11,5.83484,0.97746,4.1
12,1.09368,6.90461,5.3
13,1.8557,4.297,15.6
14,5.87402,4.79364,14.95
15,6.6121,6.66586,16.95
16,1.34455,5.55201,18.4
17,2.21257,5.16884,9.7
18,2.36206,2.51854,8.6
19,6.21735,3.97712,5.85
20,3.16292,2.87415,2.3
21,1.45784,1.54668,13.65
22,1.34979,4.30741,11.2
23,3.39773,1.33161,11.25
24,4.07606,3.07959,4.4
25,6.47784,6.63961,2.55
26,5.5,3.03765,14.2
27,4.27234,2.88112,14.5
28,6.35799,4.6884,4.55
29,0.22567,6.96301,13.8
30,2.65783,1.69317,10.3
31,1.24346,4.65196,14.0
32,4.04626,0.95875,15.5
33,2.44582,6.72252,8.6
34,5.06623,1.74919,9.85
35,2.63496,1.98048,6.7
