c,x,y,z
0,2.07426,4.6446,8.25
1,6.48687,0.80712,11.2
2,7.33657,1.26799,6.95
3,5.54376,0.77662,11.0
4,4.71887,0.98238,1.7
5,1.36063,7.31567,7.05
6,6.96153,3.22149,9.3
7,0.55465,2.61036,16.35
8,4.0076,7.23228,10.0
9,4.05311,0.66893,7.75
10,4.08085,7.37381,8.25
11,3.07306,3.23807,12.55
12,6.82342,7.25,3.9
13,0.70813,3.03947,8.4
14,0.89399,5.9014,4.5
15,7.05905,4.73854,10.25
16,6.56233,2.45167,12.15
17,5.6497,4.70251,11.35
18,4.37535,2.26146,12.7
19,1.84889,6.81775,17.5
20,2.84932,6.55875,6.75
21,2.72766,3.36063,4.7
22,1.58712,4.5,4.05
23,5.03947,2.99949,7.9
24,4.57353,6.17685,14.8
25,2.15715,0.2407,6.0
26,6.16847,0.57131,6.1
27,1.35507,2.51087,7.25
28,1.86747,4.98075,7.5
29,1.27429,2.01925,1.85
30,2.73854,1.90844,9.65
31,5.47944,5.83379,13.1
32,3.82385,4.78962,9.4
33,3.57265,6.1585,11.4
34,4.13253,3.00603,11.55
35,3.83708,5.16024,12.6
