c,x,y,z
0,3.53612,1.49264,8.9
1,3.21083,4.34272,18.45
2,6.35995,5.07928,4.4
3,6.0553,4.29102,13.65
4,5.92282,4.61509,8.45
5,3.34029,6.06631,5.35
6,2.29076,3.5236,16.35
7,3.76273,3.55487,13.0
8,5.32938,4.11805,1.45
9,4.1173,1.30573,13.45
10,0.43767,2.86747,3.15
11,5.51778,4.69217,12.35
12,6.56785,5.23342,16.5
13,5.78958,2.03765,2.6
14,1.92159,7.09022,2.55
15,2.0254,6.01989,14.6
16,2.16313,5.63235,9.0
17,1.35665,1.06078,13.25
18,4.05114,1.42555,5.7
19,3.74673,6.46493,1.5
20,6.80263,0.89544,6.9
21,0.67393,1.06997,17.25
22,5.40882,2.95781,11.95
23,6.99393,3.4344,9.2
24,0.55121,4.73902,15.8
25,6.3419,6.64694,2.9
26,3.16292,2.57506,14.65
27,2.01396,3.30191,6.0
28,4.05049,1.39399,9.45
29,1.8116,3.00279,8.9
30,3.77206,6.01981,7.5
31,5.10663,6.99341,16.55
32,4.76709,3.34968,17.6
33,2.07733,1.10492,15.9
34,3.00051,3.31643,2.2
35,6.69534,6.85195,10.7
