19.000000,0.000000,0.000000
12.034672,2.396005,0.399334
11.145502,1.856825,0.309471
10.860223,2.546643,0.424441
11.012619,2.587998,0.431333
9.851678,2.280738,0.380123
8.106924,2.446581,0.407764
6.249444,2.557861,0.426310
6.087327,1.431330,0.238555
5.244044,1.852857,0.308810
5.930149,1.574568,0.262428
5.562773,2.038889,0.339815
5.066228,1.529649,0.254942
5.147815,1.713417,0.285569
5.854723,1.851519,0.308587
5.093569,1.671967,0.278661
5.364492,1.813600,0.302267
4.813176,1.647158,0.274526
5.265190,1.903037,0.317173
5.421152,1.750949,0.291825
5.537749,1.626045,0.271007
4.960959,1.840612,0.306769
5.597619,2.046230,0.341038
5.317685,1.912195,0.318699
5.395471,1.605064,0.267511
5.066228,2.238487,0.373081
5.348936,1.759203,0.293200
5.270463,1.990617,0.331769
4.813176,1.571917,0.261986
5.700877,1.752349,0.292058
4.853407,1.545391,0.257565
5.228129,1.542422,0.257070
5.000000,1.717880,0.286313
5.005552,2.183635,0.363939
5.163978,1.895444,0.315907
5.099020,1.863677,0.310613
4.994441,2.261071,0.376845
5.632248,2.036511,0.339419
5.169354,1.738731,0.289789
5.249339,1.554527,0.259088
5.557777,1.885645,0.314274
