c,Rg
0,1.846091228189983
1,2.3609891596743937
2,2.0661648033252336
3,2.179321592652172
4,2.645520560589163
5,1.9999707626862953
6,1.5717299506276516
7,2.4399861666206224
8,1.6026486204093524
9,2.4119333317693505
10,2.2042525264814827
11,2.21485316111475
12,1.783175449836611
13,2.2543477478197547
14,2.3640002279610717
15,3.1424790429531906
16,1.9583272944531005
17,2.4485248638721235
18,2.32620381432926
19,2.368544999551412
20,1.9662005042467061
21,2.0764503149846854
22,2.496823971148147
23,1.9677841721083131
24,2.071182505744001
25,2.6292250619526656
26,2.525396361068892
27,1.5573843252389565
28,1.6233606677815007
29,2.132192850189682
30,2.4054829202677785
31,2.7844441957417647
32,2.2496706292255317
33,2.3563904402496623
34,2.2125861222786334
35,1.9126639479532206
