x,y,z
0,6,17
0,0,17
1,0,17
1,0,18
1,1,18
0,1,18
0,0,18
0,6,18
0,5,18
5,5,15
5,5,14
5,5,13
6,5,13
6,5,14
6,5,15
0,5,15
0,5,14
1,5,14
2,5,14
2,6,14
2,6,15
2,0,15
2,0,14
3,0,14
3,0,15
3,1,15
2,1,15
2,1,14
2,2,14
1,1,2
0,1,2
0,2,2
6,2,2
6,3,2
0,3,2
0,3,3
0,4,3
0,5,3
0,6,3
0,6,4
0,0,4
0,0,3
1,0,3
1,1,3
0,1,3
0,1,4
1,1,4
2,1,4
3,1,4
2,1,18
2,0,18
2,6,18
2,5,18
2,5,17
2,5,16
2,6,16
2,0,16
2,0,17
3,0,17
3,6,17
3,5,17
3,5,18
4,5,18
5,5,18
5,5,19
5,6,19
5,6,18
5,6,17
5,5,17
6,0,6
6,0,5
6,0,4
5,0,4
5,0,5
5,6,5
5,6,4
6,6,4
6,6,5
6,5,5
0,5,5
0,6,5
0,0,5
0,1,5
1,1,5
1,0,5
1,0,6
1,6,6
2,6,6
2,0,6
5,2,4
5,1,4
4,1,4
4,0,4
4,0,5
3,0,5
3,0,6
3,1,6
3,1,7
2,1,7
1,1,7
1,0,7
1,6,7
1,6,8
1,5,8
1,5,9
2,5,9
2,6,9
2,0,9
2,1,9
0,5,10
6,5,10
6,4,10
6,3,10
6,3,11
6,3,12
6,3,13
5,3,13
4,3,13
3,3,13
3,3,12
3,2,12
3,1,12
3,1,11
3,1,10
3,0,10
3,0,9
3,6,9
4,6,9
5,6,9
2,6,4
2,0,4
2,0,3
2,1,3
2,2,3
1,2,3
0,2,3
0,2,4
6,2,4
6,1,4
6,1,5
6,2,5
5,2,5
5,3,5
4,3,5
4,4,5
4,4,4
5,4,4
6,4,4
6,3,4
3,3,9
4,3,9
4,4,9
3,4,9
3,4,8
3,5,8
2,5,8
2,6,8
3,6,8
3,0,8
3,0,7
3,6,7
3,6,6
4,6,6
4,0,6
4,1,6
5,1,6
5,2,6
5,2,7
4,2,7
4,4,3
4,3,3
4,3,4
5,3,4
5,3,3
6,3,3
6,4,3
6,4,2
0,4,2
0,5,2
0,5,1
0,6,1
0,0,1
6,0,1
6,0,2
5,0,2
4,0,2
4,0,3
3,0,3
3,0,4
4,5,0
3,5,0
3,4,0
2,4,0
2,4,1
2,3,1
1,3,1
0,3,1
0,2,1
1,2,1
1,1,1
1,0,1
2,0,1
2,1,1
3,1,1
3,0,1
3,6,1
4,6,1
4,5,1
3,5,1
4,6,18
3,6,18
3,0,18
3,1,18
3,1,19
4,1,19
4,0,19
4,0,18
4,1,18
5,1,18
5,1,17
5,1,16
4,1,16
3,1,16
