c,Rg
0,2.9458139070212837
1,2.1279844360333087
2,2.304087832570625
3,2.3809471957605446
4,2.494470605499291
5,2.5200595182257106
6,1.893802733470411
7,2.096931639348312
8,1.5764027695040377
9,2.695771422450353
10,1.8835145162700497
11,1.9942575011768162
12,2.1701197022284275
13,1.9754752265214568
14,2.817989242793521
15,2.379143113349847
16,2.8450875420626343
17,1.819240192085696
18,1.7304839632888829
19,1.917129567165454
20,2.4549234753450055
21,2.4270975305702076
22,1.8648261521117728
23,3.300761077827355
24,2.26185151115187
25,2.619648641249433
26,2.1701098471966804
27,2.4264369418964917
28,2.0413443805737432
29,2.373662076412731
30,2.7591665353146047
31,1.950070659694156
32,2.5194598195843487
33,1.8983835478638136
34,2.2134195998951487
35,1.9933843249358614
