c,x,y,z
0,4.94162,0.17277,2.9
1,2.57657,0.82504,17.6
2,4.06235,1.64705,15.2
3,4.6757,0.10964,9.95
4,3.92772,0.24406,6.7
5,0.4168,1.8115,3.6
6,7.25,6.17576,7.25
7,7.28834,4.61625,14.45
8,4.75599,0.45605,13.2
9,2.53612,0.63339,1.9
10,3.51937,4.73854,10.3
11,4.27515,1.36011,12.8
12,3.61158,3.45672,1.5
13,4.15727,1.94689,10.25
14,5.19615,5.19579,2.45
15,7.33657,1.73394,16.0
16,3.13884,2.20594,8.8
17,1.05311,5.87229,18.1
18,0.22679,3.04346,10.4
19,6.22621,6.11913,16.45
20,4.2996,5.07606,8.2
21,1.34807,4.33161,2.9
22,4.94172,5.19267,2.4
23,0.12761,5.49902,5.5
24,3.21274,3.8116,16.7
25,0.9475,0.53647,5.75
26,5.75641,4.34932,5.05
27,2.15589,3.55646,4.65
28,6.41911,4.05311,9.6
29,4.5,2.94061,5.5
30,0.49322,0.51893,8.8
31,1.2388,5.92517,11.4
32,0.3195,1.90876,11.9
33,3.91142,2.19552,16.55
34,3.55646,5.55208,15.0
35,3.63531,6.07144,13.95
