c,x,y,z
0,6.28778,2.03475,11.7
1,0.11133,4.71489,1.05
2,3.86078,1.08407,17.8
3,5.82798,1.59694,2.45
4,1.1026,6.4005,18.55
5,2.01227,1.53896,17.45
6,4.77287,3.3346,18.85
7,3.29245,3.69386,6.85
8,5.55013,5.20832,15.35
9,2.87763,6.11611,2.15
10,0.7641,4.46231,11.3
11,5.81072,0.0631,8.9
12,3.81337,4.11729,3.05
13,0.85151,4.40319,16.85
14,1.65945,0.58353,1.7
15,6.66821,0.03834,16.25
16,1.24251,4.09463,18.7
17,3.92094,6.22206,16.05
18,1.15259,2.88217,8.5
19,6.09078,0.20451,1.8
20,3.00747,6.82777,5.5
21,1.98104,6.75211,9.4
22,6.41024,2.29825,6.8
23,2.28849,5.62553,8.3
24,4.64072,6.5,4.0
25,1.91317,1.23992,5.35
26,3.38786,4.90862,14.2
27,2.74184,1.64849,5.9
28,0.936,0.87811,11.6
29,1.76701,5.59368,10.4
30,4.39303,1.9546,13.65
31,5.4354,4.36691,5.25
32,6.81111,4.86886,12.6
33,0.98288,4.44512,5.7
34,2.03347,3.88515,14.3
35,4.42072,2.6654,12.75
