Re,Rx2,Ry2,Rz2
3.605551275463989,4.0,0.0,9
5.744562646538029,1.0,16.0,16
7.810249675906654,36.0,16.0,9
7.0,9.0,36.0,4
7.280109889280518,16.0,1.0,36
2.23606797749979,1.0,4.0,0
1.0,0.0,1.0,0
4.58257569495584,1.0,4.0,16
5.0,16.0,9.0,0
7.280109889280518,16.0,1.0,36
4.123105625617661,16.0,1.0,0
3.0,4.0,1.0,4
7.54983443527075,4.0,49.0,4
4.58257569495584,1.0,4.0,16
5.916079783099616,1.0,25.0,9
4.123105625617661,1.0,16.0,0
1.7320508075688772,1.0,1.0,1
1.0,1.0,0.0,0
5.385164807134504,16.0,4.0,9
4.58257569495584,4.0,16.0,1
5.916079783099616,9.0,1.0,25
6.4031242374328485,16.0,9.0,16
4.358898943540674,1.0,9.0,9
2.23606797749979,4.0,1.0,0
7.0,4.0,9.0,36
4.123105625617661,16.0,0.0,1
5.385164807134504,9.0,16.0,4
5.385164807134504,4.0,0.0,25
1.7320508075688772,1.0,1.0,1
5.385164807134504,16.0,4.0,9
4.123105625617661,4.0,4.0,9
7.810249675906654,16.0,36.0,9
7.280109889280518,0.0,49.0,4
7.681145747868608,1.0,49.0,9
4.58257569495584,4.0,1.0,16
5.385164807134504,4.0,9.0,16
