Re,Rx2,Ry2,Rz2
3.0,1.0,4,4
5.385164807134504,16.0,4.0,9
3.3166247903554,1.0,1.0,9
4.358898943540674,9,1,9
5.0,0,25.0,0
4.358898943540674,9.0,1,9
3.605551275463989,9.0,0.0,4
4.58257569495584,16.0,1.0,4
2.23606797749979,0,1,4
6.4031242374328485,1.0,36.0,4
8.306623862918075,4,16.0,49
4.123105625617661,16.0,1,0
2.23606797749979,4,0,1
4.123105625617661,1.0,16,0
5.385164807134504,16.0,9.0,4
3.0,0.0,9,0
2.23606797749979,4,0,1
3.0,4.0,1.0,4
5.744562646538029,4,4.0,25
7.0,4,9.0,36
5.385164807134504,9.0,16.0,4
1.7320508075688772,1.0,1,1
3.7416573867739413,9,4,1
2.23606797749979,1,4,0
7.280109889280518,16,1,36
4.123105625617661,0.0,16,1
2.23606797749979,0,4,1
5.196152422706632,9,9,9
4.123105625617661,9.0,4.0,4
3.3166247903554,9,1,1
6.4031242374328485,4,1,36
5.0,16.0,0.0,9
4.58257569495584,1.0,16.0,4
4.358898943540674,9.0,9,1
5.0,0.0,9,16
3.0,4,4,1
