Re,Rx2,Ry2,Rz2
3.0,4.0,1,4
4.358898943540674,1,9.0,9
3.605551275463989,9,0.0,4
3.3166247903554,1.0,1.0,9
4.58257569495584,4,1.0,16
3.605551275463989,4.0,0,9
2.23606797749979,4,0,1
4.123105625617661,1,0,16
4.123105625617661,16.0,1.0,0
4.123105625617661,0,16.0,1
4.358898943540674,9,1,9
3.0,4,4.0,1
3.0,4.0,1.0,4
1.7320508075688772,1,1,1
4.58257569495584,1,16.0,4
2.23606797749979,1,0,4
4.123105625617661,9.0,4.0,4
4.358898943540674,1.0,9.0,9
4.58257569495584,4,1,16
1.7320508075688772,1,1,1
4.123105625617661,4.0,4,9
3.605551275463989,0.0,9.0,4
1.7320508075688772,1,1,1
7.54983443527075,49.0,4.0,4
4.58257569495584,4.0,16,1
3.605551275463989,4,9,0
5.744562646538029,16,16.0,1
9.219544457292887,49.0,0,36
1.7320508075688772,1.0,1.0,1
4.58257569495584,16.0,4,1
4.123105625617661,0.0,16.0,1
5.385164807134504,9.0,4.0,16
1.7320508075688772,1,1,1
6.708203932499369,25,16.0,4
7.0,4.0,9.0,36
7.54983443527075,49.0,4.0,4
