c,x,y,z
0,2.4136,6.39303,16.2
1,3.71222,1.81337,1.65
2,1.79626,2.55277,18.55
3,5.60249,4.21201,3.95
4,1.3756,1.08011,19.15
5,6.49056,5.64958,14.35
6,0.37246,2.84074,15.7
7,5.53119,5.26146,8.2
8,1.17075,5.0018,17.3
9,2.79329,3.60226,4.0
10,1.97875,3.26915,8.65
11,4.46789,2.72701,12.3
12,6.2653,5.93455,2.0
13,6.12028,0.84741,18.3
14,1.08588,6.98484,2.6
15,3.62732,6.66034,11.35
16,4.46889,6.09551,18.35
17,4.79111,4.41296,14.8
18,0.61783,5.57768,11.3
19,2.27121,6.13179,1.55
20,6.20522,5.51396,2.45
21,2.79626,0.46881,4.45
22,3.78402,0.60249,9.55
23,3.36768,5.72828,7.85
24,0.56141,2.53299,2.25
25,2.01309,0.87022,6.1
26,3.07103,1.45403,15.9
27,6.45403,1.44512,9.35
28,6.073,0.67892,15.0
29,5.74912,1.81274,7.8
30,2.24525,2.4476,11.95
31,5.6463,3.47608,7.05
32,6.55488,0.97165,11.6
33,4.19764,2.88389,4.6
34,1.3537,3.44987,15.05
35,4.67116,5.54675,13.95
