c,x,y,z
0,4.94295,4.81072,15.2
1,3.00838,4.78496,4.0
2,3.60697,5.62019,18.5
3,4.5,5.72206,6.9
4,3.42453,2.71592,17.0
5,3.33337,2.94639,8.65
6,6.45017,4.46881,11.55
7,4.04119,3.59165,12.8
8,2.37923,4.80633,4.15
9,1.57768,4.90449,1.5
10,4.69585,1.1877,3.6
11,5.88075,0.90969,1.05
12,0.84527,5.52954,16.3
13,2.31721,3.76926,17.2
14,2.90156,4.96166,12.7
15,5.9457,3.09908,18.15
16,1.29718,6.89303,15.1
17,2.66329,3.46619,8.85
18,6.09448,6.35042,3.65
19,5.69762,3.39303,3.15
20,5.5524,2.95881,8.8
21,6.29366,1.44046,4.85
22,0.94224,3.83806,7.3
23,1.10594,1.67162,4.65
24,2.19709,3.23998,1.7
25,5.79626,6.55661,1.1
26,4.93078,0.61214,13.35
27,2.23074,6.10882,8.3
28,2.42007,0.30614,10.7
29,4.82683,1.11359,14.75
30,3.35389,0.20015,11.15
31,6.83911,6.22024,18.35
32,0.05056,6.69869,9.9
33,6.99276,6.8273,7.75
34,6.39186,2.64958,14.9
35,5.72383,0.66359,17.9
