x,y,z
2,6,2
2,0,2
3,0,2
4,0,2
3,0,2
3,0,3
3,0,4
3,1,4
4,0,10
4,0,11
4,0,12
5,0,12
5,1,12
5,2,12
5,2,13
6,2,13
6,1,13
5,1,13
5,1,12
6,1,12
5,1,12
5,1,13
5,0,13
4,0,13
5,0,13
5,6,13
5,5,13
4,5,13
1,6,5
1,6,6
2,6,6
2,0,6
2,0,5
2,1,5
2,2,5
2,2,6
1,2,6
0,2,6
6,2,6
6,2,7
6,1,7
5,1,7
5,1,6
4,1,6
3,1,6
2,1,6
3,1,6
3,2,6
4,6,14
3,6,14
3,6,15
3,5,15
2,5,15
3,5,15
3,6,15
3,6,14
3,5,14
3,6,14
3,5,14
3,6,14
3,5,14
3,6,14
2,6,14
2,5,14
2,5,15
2,6,15
2,0,15
2,6,15
0,3,19
0,3,18
0,2,18
6,2,18
6,3,18
6,4,18
6,5,18
6,5,19
6,4,19
6,3,19
5,3,19
5,3,18
6,3,18
6,3,17
0,3,17
0,4,17
6,4,17
6,5,17
6,5,16
5,5,16
0,6,10
0,6,11
0,6,12
1,6,12
2,6,12
2,5,12
2,5,13
2,4,13
2,4,14
2,4,15
1,4,15
0,4,15
0,4,16
6,4,16
6,5,16
6,5,17
0,5,17
0,4,17
6,4,17
6,5,17
0,6,2
0,6,3
1,6,3
2,6,3
2,5,3
2,6,3
3,6,3
3,5,3
3,5,2
3,4,2
3,4,3
3,4,4
3,4,3
2,4,3
2,4,4
2,4,3
1,4,3
1,4,2
0,4,2
0,3,2
3,4,13
2,4,13
2,5,13
1,5,13
1,5,12
0,5,12
6,5,12
5,5,12
5,5,11
6,5,11
6,5,10
6,4,10
6,5,10
6,5,11
6,5,10
0,5,10
1,5,10
1,5,9
1,6,9
1,5,9
0,3,11
0,3,12
0,3,11
6,3,11
6,3,10
6,2,10
6,1,10
6,1,11
6,1,10
6,1,9
6,2,9
6,1,9
5,1,9
6,1,9
5,1,9
5,1,10
5,1,11
6,1,11
6,1,12
6,0,12
6,4,5
6,3,5
5,3,5
5,2,5
6,2,5
6,3,5
6,3,4
0,3,4
0,3,5
0,3,6
0,2,6
1,2,6
1,3,6
1,3,7
1,3,8
1,2,8
1,1,8
1,1,7
2,1,7
2,0,7
