c,x,y,z
0,6.70033,1.04367,14.7
1,3.18648,0.24251,13.8
2,0.51638,2.35313,14.6
3,2.00856,2.39066,11.65
4,2.07103,5.45387,14.25
5,3.21201,0.02022,5.75
6,6.68979,4.17231,15.8
7,2.85444,0.66691,17.25
8,4.15985,5.43432,14.95
9,5.0,4.57605,12.6
10,5.38633,5.67787,3.4
11,2.37411,0.43896,4.5
12,5.51744,0.85722,10.75
13,3.0344,2.41972,5.0
14,1.72043,4.96537,1.4
15,6.65403,2.01815,3.15
16,3.71201,1.90969,12.1
17,0.74854,0.5524,11.3
18,5.86813,0.25554,9.75
19,1.56515,2.94639,7.15
20,2.5,5.78799,6.8
21,0.8168,3.18663,15.75
22,1.33841,3.15985,14.4
23,0.40206,0.18663,16.3
24,0.01334,0.01345,16.3
25,6.72468,3.61783,14.05
26,0.52954,5.87663,10.4
27,2.99836,3.57225,10.7
28,6.43718,2.82818,8.8
29,0.43858,5.5,15.55
30,5.50521,3.10143,7.5
31,4.18981,4.17952,13.05
32,5.61783,4.87201,9.65
33,0.27398,1.27948,4.4
34,5.92137,5.2679,7.25
35,4.8534,2.042,5.3
