R_rms,Rx_rms,Ry_rms,Rz_rms,err_Rrms,err_Rx,err_Ry,err_Rz
19.000000,0.000000,0.000000,19.000000,0.000000,nan,nan,0.000000
4.368447,2.333333,2.629956,2.592725,0.287118,0.239722,0.365099,0.275056
4.472136,2.121320,2.758824,2.808717,0.260380,0.261001,0.331857,0.271350
3.862210,2.198484,2.303379,2.185813,0.284726,0.329514,0.217558,0.237147
4.048319,2.576604,2.291288,2.121320,0.350796,0.444408,0.306441,0.177803
4.515406,2.939199,2.242271,2.592725,0.331177,0.384002,0.213492,0.279527
4.415880,2.527625,2.692582,2.420973,0.273898,0.305059,0.243849,0.308660
4.310839,2.867442,2.315407,2.236068,0.305071,0.356890,0.187143,0.213809
4.841946,2.315407,2.881936,3.126944,0.324925,0.231679,0.333925,0.362459
4.176655,2.403701,2.682246,2.114763,0.259069,0.263262,0.271237,0.301208
3.670453,1.755942,2.108185,2.438123,0.213153,0.248127,0.230381,0.260807
4.666667,2.687419,2.494438,2.886751,0.341844,0.393289,0.233528,0.427507
3.922867,2.656230,1.986063,2.094968,0.310686,0.383060,0.184114,0.254486
4.301163,2.397916,2.867442,2.127858,0.296393,0.199443,0.321008,0.221240
4.371626,2.857738,2.728451,1.870829,0.352841,0.360764,0.306681,0.291314
4.196559,2.466441,2.624669,2.153808,0.257132,0.309807,0.246143,0.205600
4.684490,2.939199,2.823512,2.309401,0.296115,0.346261,0.270638,0.289447
4.229526,2.297341,2.753785,2.242271,0.245717,0.271394,0.291819,0.253077
4.603742,3.140241,2.321398,2.438123,0.299717,0.310329,0.237853,0.323836
4.521553,3.032234,2.587362,2.134375,0.257626,0.274496,0.315930,0.242383
4.377975,2.166667,2.598076,2.778889,0.279066,0.208812,0.337833,0.245997
4.419025,2.692582,2.438123,2.516611,0.207925,0.234932,0.224492,0.229142
4.512329,2.697736,2.671870,2.438123,0.281543,0.283075,0.254056,0.285724
4.669642,2.061553,3.244654,2.650996,0.280024,0.207104,0.331559,0.367626
4.126473,2.236068,2.608746,2.285218,0.223710,0.213809,0.314362,0.195526
4.288227,2.565801,2.635231,2.204793,0.313393,0.279323,0.379996,0.245141
4.725816,2.153808,3.135815,2.803767,0.306730,0.228086,0.298266,0.289227
4.017324,2.380476,2.074983,2.483277,0.266485,0.220453,0.258998,0.271857
3.954604,1.907587,2.661453,2.217356,0.307446,0.208111,0.384021,0.204346
4.444097,2.857738,2.533114,2.273030,0.376456,0.320994,0.348721,0.357550
4.159995,2.438123,2.368778,2.397916,0.215902,0.195910,0.257597,0.228473
3.711843,1.950783,2.229848,2.236068,0.307178,0.204694,0.223961,0.412888
3.944053,2.650996,1.732051,2.351123,0.211978,0.263483,0.178174,0.206410
4.524624,2.455153,2.516611,2.848001,0.276686,0.197830,0.251063,0.354022
4.549115,2.603417,2.788867,2.477678,0.345324,0.241859,0.383267,0.289679
4.400126,2.217356,2.297341,3.027650,0.293055,0.251127,0.224045,0.383225
4.294700,2.409472,2.538591,2.488864,0.314298,0.309324,0.290706,0.361223
4.099458,2.505549,2.204793,2.380476,0.225359,0.237402,0.258749,0.258199
4.524624,2.449490,2.813657,2.560382,0.212494,0.232311,0.238875,0.286336
4.579544,2.449490,2.571208,2.891559,0.273403,0.191071,0.260007,0.354920
4.199868,2.565801,2.488864,2.204793,0.261782,0.208958,0.349871,0.169550
