c,x,y,z
0,0.6147,4.12579,18.35
1,2.5,6.17722,2.6
2,0.38217,0.62478,18.0
3,5.75475,1.54597,9.9
4,0.69628,4.44239,13.65
5,5.60226,5.96983,9.55
6,3.85908,5.33641,17.05
7,6.22709,1.77794,13.1
8,4.15259,1.13318,5.15
9,0.29868,6.84396,1.0
10,1.90922,5.72206,9.15
11,2.84015,2.47817,6.75
12,4.19199,2.5529,2.05
13,5.18928,2.96499,19.15
14,6.09832,2.60226,4.85
15,6.43918,6.28799,14.5
16,1.91412,1.27376,12.85
17,2.45607,3.5742,10.3
18,1.55367,1.35928,13.05
19,2.15478,4.01669,1.95
20,0.5742,2.67989,2.55
21,4.5524,4.64676,9.55
22,0.5,6.14096,7.65
23,1.35409,6.13114,4.25
24,3.25146,6.27376,6.95
25,0.5204,4.65965,8.05
26,1.72816,0.88143,17.7
27,4.44512,2.8396,3.95
28,4.06434,3.59961,16.65
29,6.04506,4.68612,2.0
30,4.0,6.87548,18.1
31,4.29454,4.87305,4.8
32,6.14849,1.84313,15.25
33,3.30561,2.82884,10.75
34,6.35151,2.9899,10.35
35,2.60226,0.01281,15.05
