c,x,y,z
0,0.86443,4.11805,1.67702
1,6.86938,5.71649,0.45117
2,2.63538,3.61942,7.51149
3,3.49554,0.77662,15.95299
4,0.60807,3.13637,2.70229
5,4.98938,3.12735,7.77991
6,4.1463,1.5,9.3415
7,7.04824,5.78737,14.71497
8,5.05786,3.17474,0.86107
9,2.20511,0.68337,0.06285
10,6.34519,4.83116,10.85391
11,1.44835,5.12966,14.43863
12,3.0254,1.28347,4.84606
13,3.90978,1.50058,12.10076
14,6.2071,6.70735,2.74732
15,3.07606,6.41916,9.89135
16,6.21173,2.11757,2.39005
17,7.02053,5.71803,15.3589
18,2.17401,1.96695,17.70132
19,6.84455,0.34217,5.89728
20,0.17707,6.14165,6.7545
21,0.82838,5.09375,4.34171
22,3.322,1.81017,0.0694
23,3.33922,6.43135,15.77505
24,0.51976,6.87263,10.34942
25,4.65545,5.87385,18.99525
26,4.82652,5.70689,8.00474
27,4.05061,4.28113,15.054
28,3.08635,1.61036,2.94865
29,5.34724,3.10601,12.66215
30,2.24653,2.86006,6.63992
31,2.76878,4.10937,9.39407
32,4.57908,2.63538,16.85223
33,2.63543,4.17482,0.6486
34,3.12109,3.60931,18.94324
35,5.81125,0.43611,10.34856
