c,Rg
0,1.9227318001739087
1,1.8371749043844465
2,1.8348949713266967
3,2.7156919553218843
4,2.444157267014542
5,2.524098687611084
6,3.0440447744735954
7,1.8521559796626201
8,2.3185578022555315
9,2.149832079582031
10,2.238274291904368
11,2.011383866645052
12,2.6006662174527513
13,2.0181904900182244
14,1.793877676125103
15,2.3146962404168714
16,2.936472925500932
17,2.3496587081106055
18,2.2409893053292333
19,2.726466419690512
20,2.1808144526988076
21,2.152350325876343
22,2.438062739738254
23,2.4009557955114462
24,2.5789998569406705
25,2.4654433861680944
26,2.0325648218199586
27,2.0348067802619494
28,2.3117591348581277
29,1.788069584831642
30,2.4365750672819417
31,2.074899745072036
32,2.3606135295088015
33,3.229928416141758
34,1.782667047824691
35,1.6967207618815774
