c,x,y,z
0,2.24844,5.80022,9.03845
1,0.93441,1.5,9.44096
2,0.37847,2.35565,9.48117
3,6.88235,1.37232,11.71654
4,1.79369,2.40844,7.28148
5,1.03318,1.13694,5.55183
6,5.73854,3.26146,10.60997
7,6.92682,5.71887,12.79538
8,4.45167,6.5,9.88172
9,6.02662,0.89399,11.50009
10,2.40174,1.3116,10.21135
11,3.29749,2.54508,9.84042
12,2.04165,0.3116,9.73999
13,7.39919,4.01925,9.98724
14,3.3116,5.89399,9.5656
15,1.06612,4.75654,8.10709
16,5.74208,2.10601,11.06624
17,6.5832,4.04374,12.03652
18,4.54508,4.02338,10.919
19,5.13253,0.97238,10.35164
20,0.51545,0.89399,7.75692
21,1.21041,3.59156,10.06557
22,2.1585,4.1585,5.27862
23,4.70251,3.0,9.90636
24,5.96323,6.27178,10.59169
25,3.59156,0.42445,10.16022
26,2.12208,6.41682,6.16133
27,2.3116,2.90844,12.39568
28,1.5,5.78962,9.76597
29,3.76504,4.64435,10.73853
30,4.01925,1.59156,9.58051
31,5.90833,5.78836,9.87798
32,5.29749,4.55013,11.00318
33,0.52216,6.20285,5.514
34,3.59479,3.68528,9.8757
35,4.37885,5.59826,9.83352
