c,Rg
0,2.711781554882325
1,2.3266720761852104
2,2.1998348628476636
3,1.7797170476230204
4,2.5832184511186815
5,2.4315293402712617
6,2.3595533873171846
7,1.7073648055702682
8,2.332965857315533
9,2.724182943342829
10,2.1074038770724512
11,2.454543471910816
12,2.1335765919928913
13,2.584067274298407
14,2.171537337901423
15,2.3213372958706366
16,1.7861783945899692
17,1.8491374509484146
18,2.0347868560859146
19,2.188373868332374
20,2.415822820759006
21,2.8441773582180137
22,2.3313891967880442
23,2.3672547297027413
24,1.9958536842414076
25,2.0682407566335215
26,2.1015335440815592
27,2.028923759262531
28,1.9605710203152549
29,2.0483305828893927
30,1.9714954766369612
31,2.090387854179219
32,2.390883065354724
33,3.0437087141347807
34,2.1400747975947008
35,2.5814888447948015
