c,x,y,z
0,2.41989,3.95858,1.19131
1,0.589,7.45136,19.48204
2,5.92517,3.79406,0.5479
3,0.48538,7.11454,4.76397
4,4.28962,4.96723,14.03749
5,4.51764,5.99884,16.95562
6,6.66625,4.8907,12.34784
7,1.66173,1.14597,4.24672
8,6.26628,5.60601,9.1956
9,5.65545,1.61036,14.77162
10,2.05061,2.79406,14.56107
11,3.98468,7.25,2.23958
12,1.33294,2.29102,13.5145
13,5.14338,3.77952,10.14368
14,1.83116,6.35995,11.77308
15,0.7384,6.00411,5.6883
16,1.91539,3.56232,8.44949
17,3.8577,3.38964,3.84155
18,4.55003,7.29314,19.46668
19,6.34641,3.44987,5.30639
20,6.06964,1.85903,9.65072
21,3.81392,2.90844,17.4724
22,3.65589,5.40242,13.19705
23,3.50883,1.04084,8.19705
24,7.18337,5.60241,13.58152
25,1.69991,3.26709,0.29346
26,3.23351,5.11435,7.69172
27,1.3116,1.72766,3.94085
28,1.50147,3.02504,16.30151
29,7.07776,2.97558,0.88569
30,6.5243,5.60227,5.95299
31,2.56929,0.51389,11.84324
32,2.07606,6.17718,19.37204
33,6.09226,3.26726,17.5498
34,2.54558,2.69337,10.4335
35,3.39801,6.0883,5.67934
