c,Rg
0,2.893994735378764
1,2.02548627509544
2,2.341678460186197
3,2.698364238367385
4,2.0897720519233673
5,2.417456507592225
6,1.89774348269201
7,2.1569796824726932
8,1.5066714671088717
9,2.0131167048633816
10,2.071089337281229
11,2.6238021196157306
12,2.3844692271866292
13,2.0754621823825166
14,1.620131489632863
15,2.23092635183235
16,2.142131572756445
17,2.360805105446021
18,2.5995186136090664
19,2.7436250413276224
20,1.9999830248529609
21,1.917585952675916
22,1.730052739485129
23,2.0653547367219995
24,2.540259495661812
25,1.6015961235280258
26,2.099606539830737
27,1.938568502323299
28,1.9075932959622184
29,1.6111359180404365
30,2.4002208300696
31,2.739296323091023
32,1.5705155406107894
33,2.3845057164326526
34,2.380719062573322
35,1.7654997500424634
