c,x,y,z
0,7.04313,2.79937,9.89733
1,0.7926,0.10455,4.03622
2,4.51178,0.66375,8.25148
3,1.6757,5.47474,9.35528
4,5.8415,2.26027,4.03268
5,6.29081,0.32529,20.33009
6,3.76193,1.79989,15.34903
7,0.36396,3.32122,8.88689
8,2.52127,7.41398,7.18574
9,3.10601,1.05951,3.45264
10,7.42157,5.77917,11.40734
11,1.34225,4.55013,16.416
12,5.17395,2.58063,17.65216
13,4.02258,6.20024,16.31579
14,1.56892,0.73813,19.15556
15,2.43455,1.81591,12.90303
16,3.88491,3.66166,18.82909
17,0.65626,4.67062,5.56646
18,4.98817,3.87565,20.40259
19,6.49697,4.94686,3.28479
20,1.23002,0.91608,16.3094
21,3.87573,2.60993,11.95521
22,2.30822,2.23342,7.8511
23,1.12598,4.9461,17.40322
24,3.76308,0.68189,20.46633
25,2.88424,4.5,6.38392
26,6.63397,0.15572,12.94766
27,4.21117,4.49545,1.79538
28,1.5959,5.63111,20.19992
29,6.38018,0.02228,15.6956
30,3.86298,6.95724,5.81128
31,4.81642,6.04626,7.67829
32,4.11627,2.99782,6.50957
33,1.94813,6.21657,3.23231
34,2.30926,0.10126,13.39972
35,1.24983,4.30683,13.70132
