c,Rg
0,1.6673159908367698
1,2.661049678547922
2,2.2419310463526747
3,2.245137799334375
4,2.5445842661228575
5,2.0523859087900598
6,2.5483070341110787
7,2.691085707497998
8,3.1051651290390336
9,2.1351571684772996
10,1.6329745157533841
11,1.9588376615227716
12,2.427644247351741
13,2.0141655733578605
14,1.706738059398688
15,1.7528553539867457
16,2.216543788762135
17,2.109151185903941
18,2.0966081188672336
19,2.578827638327153
20,1.9503873976469392
21,2.2024068209347702
22,1.918842681487985
23,2.5125140139907676
24,1.691800940329565
25,2.9001842613703013
26,2.1564286889438287
27,2.348322336498974
28,2.413867529194591
29,2.859060996795976
30,2.0654717884299463
31,2.8788375194338425
32,2.131877921575248
33,2.3463159288339663
34,2.0465476615266014
35,1.8927830482387569
