c,x,y,z
0,2.55,3.95,14.5
1,5.15,4.3,2.45
2,2.4,1.35,7.75
3,1.6,1.4,4.0
4,1.25,3.65,3.0
5,4.4,2.15,6.65
6,5.2,5.15,18.25
7,5.6,4.15,11.45
8,2.1,4.5,12.3
9,1.5,5.65,8.65
10,4.65,5.8,8.05
11,3.5,1.6,1.6
12,2.85,5.55,6.2
13,3.1,2.25,15.25
14,4.3,2.0,9.3
15,1.7,3.5,18.2
16,2.55,2.75,8.0
17,3.65,4.85,13.8
18,3.15,3.55,2.2
19,3.95,4.15,7.2
20,3.25,2.05,4.0
21,2.9,1.45,10.25
22,4.1,5.15,4.25
23,2.55,3.85,18.7
24,1.25,5.55,2.2
25,3.55,0.95,17.0
26,4.05,5.8,1.25
27,1.6,1.6,13.2
28,2.25,4.2,7.85
29,6.1,1.75,14.45
30,1.3,1.2,12.5
31,2.65,2.55,17.2
32,5.6,2.15,16.45
33,1.45,5.35,11.9
34,4.7,5.8,15.0
35,5.85,4.55,17.3
