c,x,y,z
0,4.2,5.3,12.0
1,4.75,4.45,18.1
2,4.75,5.45,15.9
3,2.05,5.85,5.6
4,3.15,1.55,5.5
5,4.35,1.9,13.85
6,3.45,5.25,2.0
7,1.55,2.55,3.8
8,4.95,1.15,16.4
9,3.8,3.8,8.8
10,1.85,1.95,11.4
11,5.8,1.9,4.5
12,5.75,4.7,13.25
13,5.0,1.3,7.5
14,3.35,6.0,13.45
15,1.55,5.4,14.95
16,3.55,2.1,4.05
17,5.95,3.85,14.4
18,2.65,4.3,4.95
19,5.7,2.9,10.9
20,1.55,1.7,8.65
21,4.25,2.95,1.8
22,5.8,3.35,8.95
23,3.55,5.7,8.25
24,5.35,5.15,1.9
25,4.2,3.4,18.7
26,1.8,4.1,18.6
27,2.05,5.35,10.7
28,4.05,2.0,12.55
29,1.35,3.5,14.65
30,1.6,3.5,4.2
31,1.3,4.5,8.7
32,2.7,1.2,13.3
33,3.45,2.4,15.85
34,5.0,5.55,6.05
35,3.8,0.95,18.25
