c,Rg
0,1.6613247725836149
1,2.4197107265125726
2,1.8479718612576328
3,1.8069310999592654
4,1.9621416870348585
5,2.386419912756345
6,1.6446884203398526
7,2.201136070305514
8,2.221485989152306
9,1.8854707634964802
10,1.8384776310850235
11,2.0724381776062706
12,2.1295539439046856
13,2.1552262062252305
14,1.9480759738778157
15,2.800892714832183
16,1.317193987231949
17,1.849324200890693
18,2.870540018881465
19,1.443952907819365
20,1.6613247725836149
21,2.0651876428063383
22,1.6598192672697833
23,2.173706511928416
24,1.7478558292948534
25,1.798610574860495
26,2.038381711063951
27,2.023610634484806
28,2.016184515365595
29,1.846618531261939
30,2.2169799277395366
31,1.7930421077041108
32,2.187464285422736
33,2.194310825749169
34,1.9506409203131159
35,1.9390719429665315
