c,x,y,z
0,2.25,2.55,1.4
1,2.9,4.85,13.35
2,4.15,1.9,9.45
3,2.95,3.3,10.95
4,2.8,1.1,15.3
5,5.95,3.85,17.8
6,4.55,5.7,16.85
7,4.8,2.2,16.3
8,5.35,4.5,7.25
9,2.1,3.2,3.6
10,1.1,1.65,3.25
11,1.2,5.4,10.8
12,4.95,1.45,2.8
13,4.55,4.8,10.55
14,2.5,6.05,12.35
15,1.5,3.0,7.9
16,5.2,1.4,12.8
17,2.15,4.85,15.1
18,3.0,5.8,18.9
19,3.05,1.6,6.75
20,3.85,1.55,15.8
21,2.6,6.35,6.95
22,4.35,5.3,2.65
23,5.25,1.35,6.7
24,1.55,2.05,13.2
25,5.6,3.75,2.65
26,3.9,1.9,18.7
27,1.7,3.6,7.8
28,3.4,2.75,9.75
29,3.8,3.85,6.45
30,1.8,5.55,4.15
31,1.85,3.5,16.55
32,5.45,4.0,12.95
33,4.9,3.9,2.3
34,2.55,5.0,3.55
35,5.85,1.6,11.25
