c,x,y,z
0,3.15,5.15,11.1
1,2.95,1.35,2.2
2,4.8,3.15,5.95
3,4.25,0.85,6.0
4,1.35,2.7,5.75
5,3.3,6.2,13.6
6,4.55,5.85,14.7
7,6.0,3.6,11.1
8,2.0,5.6,7.6
9,1.85,5.95,8.7
10,2.25,5.3,4.95
11,4.4,5.95,4.45
12,1.25,5.1,1.65
13,1.0,3.85,12.15
14,2.8,1.5,10.0
15,2.15,4.8,18.75
16,1.9,0.95,6.65
17,4.65,2.35,16.1
18,2.1,4.75,3.45
19,5.25,5.65,8.2
20,4.05,4.6,1.15
21,5.4,2.2,10.2
22,1.5,1.25,2.75
23,2.0,4.4,17.3
24,5.65,2.1,3.65
25,1.15,2.6,16.55
26,5.75,3.65,1.8
27,5.3,2.45,13.85
28,2.9,3.55,7.35
29,4.85,3.85,12.8
30,2.9,2.1,12.6
31,3.0,1.1,15.2
32,2.7,3.45,17.25
33,3.1,2.55,9.15
34,5.1,3.55,18.55
35,5.2,2.7,15.8
