c,x,y,z
0,1.9,2.4,5.2
1,1.45,2.3,17.25
2,1.75,2.2,15.45
3,5.05,1.4,10.95
4,1.75,3.85,17.4
5,5.1,1.7,16.5
6,6.0,2.8,14.9
7,4.7,1.5,17.1
8,5.0,5.8,10.9
9,2.95,1.7,4.85
10,2.6,0.65,8.35
11,2.75,1.5,10.25
12,4.5,5.05,2.65
13,1.3,5.6,7.2
14,4.35,5.85,11.7
15,4.25,5.75,7.2
16,6.0,3.25,10.65
17,4.35,5.35,17.4
18,5.0,3.85,14.55
19,6.25,2.2,6.85
20,3.8,3.7,16.9
21,1.45,4.1,8.55
22,2.35,4.25,2.1
23,5.9,6.0,4.7
24,1.35,5.85,15.1
25,3.0,3.45,1.45
26,2.0,1.7,12.4
27,2.25,3.2,9.65
28,3.65,4.75,5.1
29,1.7,3.75,6.25
30,5.15,2.35,5.9
31,5.3,3.95,18.35
32,5.45,5.5,13.75
33,1.6,5.75,8.35
34,4.35,2.85,7.8
35,2.9,3.55,12.65
