c,x,y,z
0,4.1,4.35,10.65
1,1.9,0.95,1.75
2,4.3,3.75,5.75
3,4.75,0.8,6.95
4,1.5,3.8,6.9
5,4.4,5.75,13.35
6,1.9,4.85,13.95
7,5.95,3.85,10.0
8,2.45,5.3,8.35
9,1.7,4.7,9.4
10,1.45,3.3,3.95
11,4.55,6.35,4.8
12,2.55,5.3,1.25
13,1.95,3.8,14.95
14,2.3,2.35,11.45
15,2.2,4.5,17.4
16,3.2,1.55,6.05
17,5.0,1.8,17.6
18,1.85,4.9,3.95
19,4.95,4.85,6.5
20,3.65,4.15,2.9
21,5.7,1.4,9.7
22,4.05,2.2,1.75
23,3.95,5.55,16.7
24,5.95,1.95,3.9
25,0.95,4.35,13.3
26,5.05,4.45,1.9
27,4.4,1.5,14.2
28,2.9,2.15,7.85
29,5.7,3.1,13.3
30,3.0,1.15,14.65
31,2.6,1.05,17.45
32,2.75,6.25,16.7
33,2.55,1.5,10.05
34,3.5,3.05,19.35
35,5.95,2.45,17.0
