c,x,y,z
0,3.25,4.35,17.9
1,2.05,3.95,14.6
2,4.65,6.3,17.05
3,5.0,1.35,17.35
4,2.25,3.8,8.75
5,5.65,5.0,8.55
6,4.35,3.35,5.7
7,4.0,1.8,7.4
8,1.2,2.95,2.65
9,3.45,0.95,13.4
10,1.4,5.05,4.35
11,1.65,1.75,10.5
12,3.15,5.7,9.95
13,3.1,4.75,16.35
14,2.5,2.4,11.7
15,0.7,2.3,17.7
16,3.15,2.25,2.2
17,3.45,6.15,4.8
18,1.7,3.55,14.55
19,5.4,2.3,2.6
20,2.85,2.5,6.85
21,1.85,5.9,12.55
22,1.35,4.3,3.05
23,3.0,0.85,5.45
24,3.4,1.5,18.8
25,4.3,3.35,10.85
26,1.85,1.4,16.95
27,5.2,6.0,12.5
28,5.45,3.4,12.55
29,4.9,5.05,4.45
30,4.35,1.95,11.0
31,2.75,4.65,8.0
32,6.15,4.0,15.25
33,5.95,3.9,17.65
34,5.7,1.95,4.75
35,1.35,5.7,7.95
