c,Rg
0,2.221485989152306
1,2.194310825749169
2,2.609597670139978
3,1.7818529681205462
4,2.2034064536530704
5,1.9621416870348585
6,1.5116216457830973
7,1.9874606914351791
8,2.0161845153655955
9,1.704406054905931
10,1.9646882704388502
11,3.388952640566109
12,1.8828170383762732
13,2.03100960115899
14,1.8881207588499207
15,1.8601075237738274
16,2.8679260799399975
17,1.5668439615992398
18,1.819340539866025
19,1.5443445211480502
20,2.839894364232585
21,2.03100960115899
22,2.1505813167606567
23,2.339871791359518
24,1.6263455967290592
25,2.3947860029656094
26,2.2792542640082964
27,1.7378147196982772
28,2.8346075566116733
29,1.57797338380595
30,1.7507141400011594
31,1.6217274740226855
32,2.1575449010391416
33,1.711724276862369
34,2.219234102117215
35,1.7334935823359716
