c,x,y,z
0,2.4,2.45,3.95
1,2.65,4.65,16.0
2,2.5,2.7,9.7
3,1.55,1.85,10.5
4,2.35,4.8,13.75
5,5.5,4.75,18.05
6,5.2,2.55,14.05
7,3.3,0.9,18.0
8,3.85,5.35,9.1
9,3.5,2.95,4.95
10,2.5,1.5,6.1
11,2.7,6.0,12.7
12,6.25,1.85,2.9
13,6.1,5.85,6.55
14,1.7,5.75,11.45
15,4.35,1.6,11.05
16,5.55,3.4,12.15
17,1.75,2.35,17.6
18,3.4,5.25,18.05
19,4.5,0.75,7.45
20,6.1,2.7,16.1
21,4.0,4.75,5.75
22,4.3,5.7,1.8
23,4.5,3.8,0.9
24,1.6,2.7,14.0
25,2.6,3.7,2.0
26,1.95,1.65,14.7
27,1.25,5.3,7.25
28,4.25,4.2,8.85
29,5.0,1.9,6.4
30,1.55,3.55,3.3
31,3.95,3.7,16.95
32,4.6,4.45,11.65
33,2.8,2.95,2.65
34,2.35,5.35,4.8
35,5.1,4.2,8.6
