c,x,y,z
0,1.35,4.5,3.15
1,3.15,5.15,18.5
2,1.15,1.05,5.1
3,5.55,1.25,11.0
4,2.05,4.6,16.55
5,5.25,1.45,17.1
6,4.5,3.3,14.3
7,3.55,0.95,11.2
8,3.1,5.15,6.55
9,3.85,1.5,6.15
10,3.0,1.6,17.6
11,3.65,4.2,8.75
12,2.8,6.35,9.35
13,5.75,2.5,3.05
14,2.95,3.5,6.05
15,5.55,2.8,1.55
16,5.4,4.05,14.55
17,5.3,5.0,15.5
18,4.85,3.7,10.45
19,2.8,1.0,8.9
20,3.55,4.55,17.3
21,1.6,1.7,16.3
22,4.1,6.05,2.35
23,2.75,1.6,13.75
24,5.0,5.6,12.3
25,3.3,1.3,3.6
26,4.45,4.0,18.15
27,1.05,4.6,15.35
28,2.5,3.55,5.65
29,2.1,5.85,5.15
30,1.25,3.15,12.1
31,2.6,5.85,10.25
32,4.8,2.6,11.5
33,2.95,3.0,1.95
34,2.8,3.75,8.25
35,5.95,4.05,7.4
