c,x,y,z
0,3.45,6.45,12.1
1,1.7,3.2,2.6
2,0.9,2.55,10.15
3,6.25,1.45,7.5
4,2.25,2.85,10.7
5,1.4,0.7,8.3
6,4.0,0.65,16.75
7,5.55,0.95,7.6
8,5.55,6.15,12.8
9,2.8,4.8,4.4
10,3.1,1.95,11.05
11,4.8,2.9,10.1
12,0.5,6.0,12.5
13,0.95,4.3,10.65
14,4.15,5.5,13.35
15,1.75,5.15,18.9
16,6.35,2.95,6.3
17,2.8,3.15,18.35
18,5.45,2.35,10.1
19,5.05,3.2,7.75
20,0.9,2.1,8.3
21,1.9,4.55,12.05
22,1.2,4.9,10.7
23,5.35,4.1,12.35
24,3.75,4.65,3.2
25,3.8,0.65,11.45
26,3.25,0.8,6.35
27,2.85,3.25,9.1
28,3.1,5.65,12.55
29,4.4,4.75,12.05
30,3.55,2.15,11.2
31,5.85,4.35,17.1
32,6.05,3.2,13.75
33,1.4,6.2,10.6
34,3.25,3.95,12.8
35,5.85,5.0,13.75
