c,x,y,z
0,3.6884,5.99974,10.42918
1,0.23423,2.24165,8.62704
2,0.47236,3.55013,8.8571
3,6.18166,1.88281,10.07137
4,1.73854,2.40521,10.73853
5,0.79596,1.45335,9.6796
6,5.90013,2.59156,6.86136
7,0.35754,0.37847,12.27599
8,4.54508,7.1133,10.43551
9,5.78962,0.42445,10.88065
10,2.0,1.09156,9.54746
11,3.40844,3.26976,9.9473
12,2.02006,0.22567,13.50042
13,1.44582,4.71268,8.4165
14,2.14597,0.17658,13.85425
15,7.18433,5.51778,8.47634
16,5.40174,1.65589,13.81043
17,5.96682,4.88195,7.81263
18,5.3243,2.86117,11.4331
19,4.5,1.0,12.50329
20,0.15562,6.37287,10.49266
21,1.55208,3.72925,9.93091
22,1.45335,5.59826,9.09023
23,4.40174,3.41125,11.00843
24,5.1585,6.62153,9.05817
25,3.05311,6.57577,11.02081
26,6.26106,6.31794,13.16136
27,2.78962,3.04013,10.12537
28,2.45492,6.01179,9.59139
29,3.26106,4.75156,7.8498
30,3.35565,1.40844,9.9677
31,5.80022,3.80022,6.3283
32,4.59826,4.11719,9.96238
33,6.13557,5.09858,6.26927
34,2.74547,3.59156,9.22037
35,4.75835,5.3116,10.0788
