c,x,y,z
0,1.55418,4.46235,15.43893
1,0.69459,1.98818,11.99047
2,4.47335,2.86747,2.89074
3,4.39518,6.45769,13.15108
4,3.46789,0.65485,20.26921
5,4.54344,4.30245,6.95388
6,0.0598,2.41749,1.18057
7,6.5832,0.58529,14.40644
8,2.74502,5.84261,18.61144
9,4.49739,2.67355,1.08535
10,5.22147,6.22621,16.65239
11,5.4363,3.74245,5.84772
12,0.8056,4.08275,0.73177
13,5.10551,6.78955,5.40303
14,5.02072,3.73978,18.42443
15,3.5,6.1516,10.06356
16,2.58032,6.10601,3.80151
17,3.63991,2.23807,5.29868
18,6.95801,1.60199,7.76874
19,3.10244,6.20687,1.74612
20,4.49127,2.30144,14.60173
21,5.19668,2.49897,8.0
22,2.3243,5.85699,8.20988
23,0.77379,6.21865,10.9548
24,1.8682,6.54445,12.49498
25,5.46693,6.72196,10.05338
26,1.33449,0.92856,16.10365
27,1.04816,5.45958,3.02884
28,2.84067,2.89012,16.59976
29,1.32837,1.27766,17.29963
30,0.50303,3.86116,5.99281
31,4.15418,4.28228,0.88593
32,1.39099,2.69337,10.29963
33,0.42794,1.29315,19.94923
34,3.80822,2.59696,14.10175
35,1.40215,2.82515,9.2431
