x,y,z
3,5,7
3,4,7
3,4,8
4,4,8
4,3,8
4,3,7
4,2,7
4,2,8
4,3,2
4,3,3
3,3,3
3,3,4
3,2,4
3,1,4
3,1,3
4,1,3
4,0,3
4,6,3
3,6,3
2,6,3
2,6,2
3,6,2
4,6,2
4,0,2
4,0,1
3,0,1
3,6,1
3,6,0
3,5,19
3,6,19
2,6,19
2,0,19
2,0,18
1,0,18
1,0,17
1,1,17
1,2,17
1,2,18
0,2,18
0,2,17
0,3,17
0,3,18
1,3,18
2,3,18
3,3,18
4,3,18
5,3,18
5,2,18
1,4,6
2,4,6
2,4,7
1,4,7
1,4,8
2,4,8
2,5,8
1,5,8
1,6,8
0,6,8
0,6,9
6,6,9
5,6,9
5,0,9
4,0,9
4,6,9
4,6,8
5,6,8
5,0,8
5,1,8
5,0,18
5,0,17
6,0,17
6,0,16
5,0,16
5,1,16
5,1,17
5,1,18
5,1,19
5,1,0
5,1,1
5,2,1
4,2,1
4,2,0
4,1,0
4,0,0
3,0,0
3,1,0
3,1,1
3,1,2
4,6,18
4,6,19
5,6,19
5,6,18
6,6,18
6,6,19
0,6,19
0,0,19
1,0,19
1,6,19
1,6,0
1,5,0
1,5,1
1,6,1
0,6,1
0,5,1
0,5,0
6,5,0
6,6,0
6,6,1
3,0,6
3,1,6
3,2,6
2,2,6
2,2,5
2,3,5
3,3,5
3,4,5
4,4,5
4,5,5
3,5,5
3,5,4
4,5,4
4,4,4
3,4,4
2,4,4
2,4,3
3,4,3
4,4,3
4,5,3
2,1,16
3,1,16
3,0,16
3,6,16
3,6,17
3,0,17
3,1,17
2,1,17
2,0,17
2,0,16
1,0,16
1,0,15
1,0,14
1,6,14
1,6,15
1,6,16
0,6,16
0,6,17
0,0,17
0,0,16
4,1,14
4,0,14
4,0,13
4,0,12
4,6,12
5,6,12
5,6,11
4,6,11
4,0,11
5,0,11
5,0,10
4,0,10
4,6,10
5,6,10
6,6,10
6,0,10
6,0,11
6,6,11
6,6,12
0,6,12
0,4,17
0,4,18
1,4,18
1,4,17
1,4,16
2,4,16
3,4,16
3,3,16
3,3,17
4,3,17
4,4,17
4,5,17
4,6,17
5,6,17
5,6,16
5,5,16
4,5,16
4,6,16
4,6,15
4,5,15
