c,Rg,Rgx,Rgy,Rgz
0,4.269851498939981,0.47700306340735377,1.8167788750698306,3.834503151596045
1,4.60046331601503,0.6884139452393452,1.0323007408696363,4.429977894120918
2,3.970731561425426,0.9750622453976975,0.7000257995959862,3.784960585052373
3,4.517933450030001,0.45837511319878593,0.3001186991841728,4.484589577754021
4,3.8945457022482097,0.8544969294854137,0.9020648535443556,3.6910161506555346
5,3.6964650563071735,0.3572296136940497,0.7263855419816668,3.6067443713132756
6,4.279339581348972,1.1626626080252171,0.0,4.1183689626355715
7,4.95596147621226,0.6127732579021378,0.0,4.917932806383186
8,3.4077780185481563,0.0,1.3964477289179142,3.1085180977597666
9,4.2594804742480035,0.45837511319878604,1.09574756331009,4.090526059518506
10,4.361225865957873,0.4974965214953769,0.4603917489486535,4.308227907446401
11,3.468224590276703,0.4899348120923844,1.2443026352539803,3.2000400998112513
12,2.835734574656098,0.9749787592045275,1.6664736337848252,2.076938281437366
13,3.7982151744470722,1.410900877064013,0.9759292356006145,3.388710573890901
14,3.7442474320616155,1.3303426663833646,0.3001186991841728,3.4870483204136997
15,4.111342247016174,0.4770453332755703,0.47704533327557036,4.055612231476279
16,2.7560827703644892,1.162399522066316,1.3479988294134382,2.1042145195060318
17,3.13148783240491,0.9923294696823229,1.4042437922597344,2.6171735976048667
18,4.773377769630223,0.3001186991841728,0.7263217581760855,4.708239671214709
19,3.369145759773536,1.5026357647813393,1.5141358396458358,2.607800139600425
20,2.9290216088823926,0.9500905927331352,0.6540681928514793,2.6923391781125945
21,4.3912986269895145,0.21800047339398143,0.726994362082678,4.325211974285191
22,3.192984255269668,0.7071067811865476,0.4001681646508129,3.0878817811567845
23,4.527103459453959,0.6231860361079988,0.5894913204619726,4.445087724679907
24,3.866181190347912,0.6225293339273259,1.9131659108660701,3.301455803505478
25,3.2585139289252703,0.5,0.670424266341844,3.1493561767605773
26,3.7343672125140563,1.457037578135856,0.6824485598929784,3.369985747284401
27,4.226725284910294,0.4770453332755703,0.43592102966018964,4.177033306067837
28,4.311769376404541,0.4001681646508128,0.9001977987642491,4.197721348350794
29,3.5689575767862527,0.4899348120923843,0.7669757860584651,3.450966561472307
30,3.471250638098609,0.458375113198786,0.5477225575051661,3.3969800187961074
31,3.5882383311173744,0.4001681646508128,1.1442297857073986,3.3772855902928907
32,4.304665567044669,0.8890496346661415,0.433164324015725,4.189523249678894
33,3.465760283285617,0.7949526083987649,0.5578729260324432,3.326908849066953
34,3.822045728729577,1.5830882513618754,0.4001681646508128,3.4556809142193674
35,4.290802177646973,0.6404174888305285,0.538519291762143,4.208425565469824
