c,x,y,z
0,3.12354,2.28962,14.70326
1,5.22248,4.28113,11.77101
2,6.10509,1.44987,2.39876
3,3.83025,5.1906,12.53334
4,2.07931,7.14672,12.19849
5,1.53326,2.76927,8.56762
6,2.00279,2.4152,5.09782
7,2.2893,0.87751,20.47867
8,3.38735,5.59641,18.70132
9,3.4097,2.96323,0.68349
10,1.5894,5.8415,5.28622
11,4.92792,5.11509,10.05291
12,4.43904,5.82385,4.80295
13,1.28962,3.35761,4.35596
14,0.30681,0.98184,18.11638
15,2.15034,2.36149,10.75818
16,5.19675,6.95361,6.80151
17,0.30267,0.0059,0.66475
18,4.06879,0.3437,9.551
19,4.2391,7.16343,2.15228
20,7.22645,3.68714,13.25897
21,0.70149,6.5952,7.60124
22,0.03699,4.5804,3.74367
23,5.09088,2.41906,5.39876
24,4.18749,1.17615,12.39924
25,5.94233,3.44582,9.92016
26,2.44042,3.68611,18.15919
27,5.55418,3.15562,20.04893
28,0.4757,0.29687,16.65731
29,4.28802,4.67259,17.03391
30,1.16505,0.55833,8.55027
31,2.87305,4.29979,2.24672
32,2.92769,3.75667,11.48241
33,1.48496,4.54798,17.85809
34,5.69151,0.2606,15.05285
35,3.5234,4.87236,7.74277
